id,published,name,gh_owner,gh_repo,purl,severity,categories_vuln,categories_package,github_link,introduced_version,patched_version,date_of_patch,dependents
RUSTSEC-2016-0001,2016-11-05T12:00:00Z,openssl,sfackler,rust-openssl,pkg:cargo/openssl,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H'}]",[],"['cryptography', 'api-bindings']",https://github.com/sfackler/rust-openssl,0.0.0-0,0.9.0,,"{'tokio-tls': {'downloads': 7646654, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['network-programming', 'asynchronous'], 'version': '0.3.1'}, 'tokio-openssl': {'downloads': 5625445, 'github_url': 'https://github.com/sfackler/tokio-openssl', 'categories': [], 'version': '0.6.3'}, 'sha1_smol': {'downloads': 14459813, 'github_url': 'https://github.com/mitsuhiko/sha1-smol', 'categories': [], 'version': '1.0.0'}, 'zuse': {'downloads': 412, 'github_url': 'https://github.com/19h/zuse', 'categories': [], 'version': '0.5.0'}, 'native-tls': {'downloads': 21051691, 'github_url': 'https://github.com/sfackler/rust-native-tls', 'categories': [], 'version': '0.2.11'}, 'tokio-native-tls': {'downloads': 15106558, 'github_url': 'https://github.com/tokio-rs/tls', 'categories': ['network-programming', 'asynchronous'], 'version': '0.3.1'}, 'awc': {'downloads': 132434, 'github_url': 'https://github.com/actix/actix-web.git', 'categories': ['network-programming', 'asynchronous', 'web-programming::websocket', 'web-programming::http-client'], 'version': '3.2.0'}, 'actix-tls': {'downloads': 304513, 'github_url': 'https://github.com/actix/actix-net.git', 'categories': ['asynchronous', 'cryptography', 'network-programming'], 'version': '3.1.1'}, 'rcgen': {'downloads': 187858, 'github_url': 'https://github.com/est31/rcgen', 'categories': [], 'version': '0.11.3'}, 'trust-dns-proto': {'downloads': 170833, 'github_url': 'https://github.com/bluejekyll/trust-dns', 'categories': ['network-programming'], 'version': '0.23.2'}}"
RUSTSEC-2016-0002,2016-05-09T12:00:00Z,hyper,hyperium,hyper,pkg:cargo/hyper,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N'}]",['crypto-failure'],"['web-programming::http-server', 'web-programming::http-client', 'network-programming']",https://github.com/hyperium/hyper,0.0.0-0,0.9.4,,"{'prometheus': {'downloads': 6575622, 'github_url': 'https://github.com/tikv/rust-prometheus', 'categories': [], 'version': '0.13.3'}, 'matchit': {'downloads': 2241429, 'github_url': 'https://github.com/ibraheemdev/matchit', 'categories': ['algorithms', 'network-programming'], 'version': '0.7.3'}, 'tokio-tungstenite': {'downloads': 1375112, 'github_url': 'https://github.com/snapview/tokio-tungstenite', 'categories': ['concurrency', 'web-programming::websocket', 'asynchronous', 'network-programming'], 'version': '0.20.1'}, 'tonic': {'downloads': 898113, 'github_url': 'https://github.com/hyperium/tonic', 'categories': ['web-programming', 'network-programming', 'asynchronous'], 'version': '0.10.2'}, 'reqwest': {'downloads': 3484730, 'github_url': 'https://github.com/seanmonstar/reqwest', 'categories': ['web-programming::http-client', 'wasm'], 'version': '0.11.22'}, 'hyper-rustls': {'downloads': 1322288, 'github_url': 'https://github.com/rustls/hyper-rustls', 'categories': [], 'version': '0.24.2'}, 'axum-core': {'downloads': 20318, 'github_url': 'https://github.com/tokio-rs/axum', 'categories': ['asynchronous', 'web-programming', 'network-programming'], 'version': '0.4.0'}, 'axum': {'downloads': 19959, 'github_url': 'https://github.com/tokio-rs/axum', 'categories': ['asynchronous', 'web-programming::http-server', 'network-programming'], 'version': '0.7.1'}, 'hyper-tls': {'downloads': 1057, 'github_url': 'https://github.com/hyperium/hyper-tls', 'categories': [], 'version': '0.6.0'}, 'hyper-timeout': {'downloads': 22, 'github_url': 'https://github.com/hjr3/hyper-timeout', 'categories': [], 'version': '0.5.0'}}"
RUSTSEC-2016-0003,2016-08-01T12:00:00Z,portaudio,RustAudio,rust-portaudio,pkg:cargo/portaudio,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N'}]",[],[],https://github.com/RustAudio/rust-portaudio.git,0.0.0-0,,,"{'sound_stream': {'downloads': 5370, 'github_url': 'https://github.com/RustAudio/sound_stream.git', 'categories': [], 'version': '0.6.0'}, 'oxcable': {'downloads': 5388, 'github_url': 'https://github.com/oxcable/oxcable', 'categories': [], 'version': '0.5.1'}, 'dsp-chain': {'downloads': 8541, 'github_url': 'https://github.com/RustAudio/dsp-chain.git', 'categories': [], 'version': '0.13.1'}, 'envelope_detector': {'downloads': 2129, 'github_url': 'https://github.com/MindBuffer/envelope_detector.git', 'categories': [], 'version': '0.2.0'}, 'compressor': {'downloads': 1189, 'github_url': 'https://github.com/MindBuffer/compressor.git', 'categories': [], 'version': '0.3.0'}, 'scaleless_music': {'downloads': 918, 'github_url': 'https://github.com/tiborgats/scaleless_music', 'categories': [], 'version': '0.0.8'}, 'synth': {'downloads': 3638, 'github_url': 'https://github.com/RustAudio/synth.git', 'categories': [], 'version': '0.11.0'}, 'sample': {'downloads': 30224, 'github_url': 'https://github.com/RustAudio/sample.git', 'categories': [], 'version': '0.11.0'}, 'toid': {'downloads': 213, 'github_url': None, 'categories': [], 'version': '0.10.0-alpha'}, 'webrtc-audio-processing': {'downloads': 661, 'github_url': 'https://github.com/tonarino/webrtc-audio-processing', 'categories': ['multimedia::audio'], 'version': '0.4.0'}}"
RUSTSEC-2016-0004,2016-09-10T12:00:00Z,libusb,dcuddeback,libusb-rs,pkg:cargo/libusb,[],[],[],https://github.com/dcuddeback/libusb-rs.git,0.0.0-0,0.3.1-0,,"{'gcnctrlusb': {'downloads': 1267, 'github_url': 'https://github.com/SkylerLipthay/gcnctrlusb', 'categories': [], 'version': '0.1.0'}, 'libtrancevibe': {'downloads': 1213, 'github_url': 'https://github.com/metafetish/libtrancevibe-rs.git', 'categories': [], 'version': '0.1.0'}, 'steamy-controller': {'downloads': 1406, 'github_url': 'https://github.com/meh/steamy', 'categories': [], 'version': '0.2.1'}, 'ykcryptsetup': {'downloads': 1046, 'github_url': 'http://www.coturnix.fr/darcs/ykcryptsetup', 'categories': [], 'version': '0.1.0'}, 'ptp': {'downloads': 1106, 'github_url': 'https://github.com/3drobotics/rust-ptp', 'categories': [], 'version': '0.5.0'}, 'aw-fel': {'downloads': 1441, 'github_url': 'https://github.com/Razican/aw-fel-rs', 'categories': ['embedded'], 'version': '0.5.2'}, 'bobbin-cli': {'downloads': 670, 'github_url': 'https://github.com/bobbin-rs/bobbin-cli/', 'categories': [], 'version': '0.8.8'}, 'driver-cp2130': {'downloads': 758, 'github_url': 'https://github.com/ryankurte/rust-driver-cp2130', 'categories': [], 'version': '0.3.1'}, 'hanteker_lib': {'downloads': 759, 'github_url': 'https://github.com/hkoosha/hanteker', 'categories': [], 'version': '0.4.0'}, 'k8055': {'downloads': 190, 'github_url': 'https://github.com/hirschenberger/k8055.rs.git', 'categories': [], 'version': '0.2.3'}}"
RUSTSEC-2016-0005,2016-09-06T12:00:00Z,rust-crypto,DaGenix,rust-crypto,pkg:cargo/rust-crypto,[],[],[],https://github.com/DaGenix/rust-crypto/,0.0.0-0,0.2.37-0,,"{'ntru': {'downloads': 3963, 'github_url': 'https://github.com/FractalGlobal/ntru-rs', 'categories': [], 'version': '0.5.6'}, 'merkle-sha3': {'downloads': 42836, 'github_url': 'https://github.com/sorpaas/merkle.rs', 'categories': [], 'version': '0.1.0'}, 'filebuffer': {'downloads': 53710, 'github_url': 'https://github.com/ruuda/filebuffer', 'categories': ['filesystem', 'asynchronous', 'memory-management'], 'version': '0.4.0'}, 'iron-hmac': {'downloads': 1289, 'github_url': 'https://github.com/jwilm/iron-hmac', 'categories': [], 'version': '0.6.0'}, 'fil-sapling-crypto': {'downloads': 298, 'github_url': 'https://github.com/filecoin-project/sapling-crypto', 'categories': [], 'version': '0.7.0'}, 'twapi-oauth': {'downloads': 79662, 'github_url': 'https://github.com/aoyagikouhei/twapi-oauth-rs', 'categories': ['api-bindings'], 'version': '0.1.4'}, 'smtp': {'downloads': 3464, 'github_url': 'https://github.com/amousset/rust-smtp', 'categories': [], 'version': '0.3.2'}, 'cjson': {'downloads': 25867, 'github_url': None, 'categories': [], 'version': '0.1.2'}, 'sawtooth-sabre': {'downloads': 1495, 'github_url': None, 'categories': [], 'version': '0.8.1'}, 'merkle_light': {'downloads': 27571, 'github_url': 'https://github.com/sitano/merkle_light', 'categories': ['cryptography', 'data-structures'], 'version': '0.4.0'}}"
RUSTSEC-2016-0006,2016-12-15T12:00:00Z,cassandra,tupshin,cassandra-rs,pkg:cargo/cassandra,[],[],[],https://github.com/tupshin/cassandra-rust,0.0.0-0,0.8.2-0,,{}
RUSTSEC-2017-0001,2017-01-26T12:00:00Z,sodiumoxide,dnaq,sodiumoxide,pkg:cargo/sodiumoxide,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N'}]",[],['cryptography'],https://github.com/sodiumoxide/sodiumoxide,0.0.0-0,0.0.14,,"{'maidsafe_types': {'downloads': 4193, 'github_url': 'https://github.com/maidsafe/maidsafe_types', 'categories': [], 'version': '0.2.3'}, 'nat_traversal': {'downloads': 2003, 'github_url': 'https://github.com/maidsafe/nat_traversal', 'categories': [], 'version': '0.4.1'}, 'edcert': {'downloads': 3165, 'github_url': 'https://github.com/zombiemuffin/edcert/', 'categories': [], 'version': '9.0.1'}, 'sovrin-client': {'downloads': 553, 'github_url': None, 'categories': [], 'version': '0.1.1-15'}, 'discord': {'downloads': 3972, 'github_url': 'https://github.com/SpaceManiac/discord-rs', 'categories': [], 'version': '0.8.1'}, 'dup-crypto': {'downloads': 2973, 'github_url': 'https://git.duniter.org/libs/dubp-rs-libs', 'categories': [], 'version': '0.58.0'}, 'rdedup-lib': {'downloads': 1012, 'github_url': 'https://github.com/dpc/rdedup', 'categories': [], 'version': '3.2.0'}, 'radicle-keystore': {'downloads': 6095, 'github_url': None, 'categories': [], 'version': '0.2.0'}, 'dryoc': {'downloads': 2615, 'github_url': 'https://github.com/brndnmtthws/dryoc', 'categories': ['algorithms', 'cryptography'], 'version': '0.5.1'}, 'snow': {'downloads': 97147, 'github_url': 'https://github.com/mcginty/snow', 'categories': ['cryptography'], 'version': '0.9.4'}}"
RUSTSEC-2017-0002,2017-01-23T12:00:00Z,hyper,hyperium,hyper,pkg:cargo/hyper,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N'}]",[],"['web-programming::http-server', 'web-programming::http-client', 'network-programming']",https://github.com/hyperium/hyper,0.10.0,0.10.2,,"{'prometheus': {'downloads': 6575622, 'github_url': 'https://github.com/tikv/rust-prometheus', 'categories': [], 'version': '0.13.3'}, 'matchit': {'downloads': 2241429, 'github_url': 'https://github.com/ibraheemdev/matchit', 'categories': ['algorithms', 'network-programming'], 'version': '0.7.3'}, 'tokio-tungstenite': {'downloads': 1375112, 'github_url': 'https://github.com/snapview/tokio-tungstenite', 'categories': ['concurrency', 'web-programming::websocket', 'asynchronous', 'network-programming'], 'version': '0.20.1'}, 'tonic': {'downloads': 898113, 'github_url': 'https://github.com/hyperium/tonic', 'categories': ['web-programming', 'network-programming', 'asynchronous'], 'version': '0.10.2'}, 'reqwest': {'downloads': 3484730, 'github_url': 'https://github.com/seanmonstar/reqwest', 'categories': ['web-programming::http-client', 'wasm'], 'version': '0.11.22'}, 'hyper-rustls': {'downloads': 1322288, 'github_url': 'https://github.com/rustls/hyper-rustls', 'categories': [], 'version': '0.24.2'}, 'axum-core': {'downloads': 20318, 'github_url': 'https://github.com/tokio-rs/axum', 'categories': ['asynchronous', 'web-programming', 'network-programming'], 'version': '0.4.0'}, 'axum': {'downloads': 19959, 'github_url': 'https://github.com/tokio-rs/axum', 'categories': ['asynchronous', 'web-programming::http-server', 'network-programming'], 'version': '0.7.1'}, 'hyper-tls': {'downloads': 1057, 'github_url': 'https://github.com/hyperium/hyper-tls', 'categories': [], 'version': '0.6.0'}, 'hyper-timeout': {'downloads': 22, 'github_url': 'https://github.com/hjr3/hyper-timeout', 'categories': [], 'version': '0.5.0'}}"
RUSTSEC-2017-0003,2017-03-15T12:00:00Z,security-framework,sfackler,rust-security-framework,pkg:cargo/security-framework,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N'}]",[],"['os::macos-apis', 'api-bindings', 'cryptography']",https://github.com/kornelski/rust-security-framework,0.0.0-0,0.1.12,,"{'tls-async': {'downloads': 1475, 'github_url': 'https://github.com/dbcfd/tls-async', 'categories': ['network-programming', 'asynchronous'], 'version': '0.3.0-alpha.7'}, 'tokio-tls-api': {'downloads': 1865, 'github_url': 'https://github.com/stepancheg/rust-tls-api', 'categories': ['network-programming', 'asynchronous'], 'version': '0.2.1'}, 'tokio-tls': {'downloads': 7646654, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['network-programming', 'asynchronous'], 'version': '0.3.1'}, 'native-tls': {'downloads': 21051691, 'github_url': 'https://github.com/sfackler/rust-native-tls', 'categories': [], 'version': '0.2.11'}, 'tmuntaner-keyring': {'downloads': 837, 'github_url': 'https://github.com/tmuntaner/keyring-rs', 'categories': [], 'version': '0.1.0-alpha.15'}, 'tokio-native-tls': {'downloads': 15106558, 'github_url': 'https://github.com/tokio-rs/tls', 'categories': ['network-programming', 'asynchronous'], 'version': '0.3.1'}, 'keyring': {'downloads': 56472, 'github_url': 'https://github.com/hwchen/keyring-rs.git', 'categories': [], 'version': '2.0.5'}, 'apple-codesign': {'downloads': 231, 'github_url': 'https://github.com/indygreg/apple-platform-rs.git', 'categories': [], 'version': '0.26.0'}, 'cargo-credential-macos-keychain': {'downloads': 12971, 'github_url': 'https://github.com/rust-lang/cargo', 'categories': [], 'version': '0.4.0'}, 'rustls-native-certs': {'downloads': 103, 'github_url': 'https://github.com/rustls/rustls-native-certs', 'categories': ['cryptography', 'network-programming'], 'version': '0.7.0'}}"
