id,published,name,gh_owner,gh_repo,purl,severity,categories,introduced_version,patched_version,dependents
RUSTSEC-2021-0121,2021-10-08T12:00:00Z,crypto2,shadowsocks,crypto2,pkg:cargo/crypto2,[],[],0.0.0-0,,"{'aes-keywrap-rs': {'downloads': 999, 'github_url': 'https://github.com/hwiorn', 'version': '0.2.0'}}"
RUSTSEC-2022-0031,2022-05-21T12:00:00Z,rulex,rulex-rs,rulex,pkg:cargo/rulex,[],['denial-of-service'],0.0.0-0,0.4.3,"{'rulex-bin': {'downloads': 125, 'github_url': 'https://github.com/Aloso', 'version': '0.4.5'}, 'rulex-macro': {'downloads': 97, 'github_url': 'https://github.com/Aloso', 'version': '0.4.4'}}"
RUSTSEC-2021-0064,2021-05-06T12:00:00Z,cpuid-bool,RustCrypto,utils,pkg:cargo/cpuid-bool,[],[],0.0.0-0,,"{'cess-sha2raw': {'downloads': 562, 'github_url': 'https://github.com/tehsunnliu', 'version': '0.1.0'}}"
RUSTSEC-2018-0019,2018-06-08T12:00:00Z,actix-web,actix,actix-web,pkg:cargo/actix-web,[],['memory-corruption'],0.0.0-0,0.7.15,"{'actix-files': {'downloads': 1059471, 'github_url': 'https://github.com/robjtede', 'version': '0.6.2'}, 'actix-cors': {'downloads': 1607163, 'github_url': 'https://github.com/robjtede', 'version': '0.6.4'}, 'actix-web-actors': {'downloads': 608837, 'github_url': 'https://github.com/robjtede', 'version': '4.2.0'}, 'serde_qs': {'downloads': 604070, 'github_url': 'https://github.com/samscott89', 'version': '0.12.0'}, 'rust-embed': {'downloads': 289640, 'github_url': 'https://github.com/pyrossh', 'version': '8.0.0'}, 'actix-web-httpauth': {'downloads': 120794, 'github_url': 'https://github.com/robjtede', 'version': '0.8.1'}, 'webbrowser': {'downloads': 124969, 'github_url': 'https://github.com/amodm', 'version': '0.8.12'}, 'prometheus-client': {'downloads': 46967, 'github_url': 'https://github.com/mxinden', 'version': '0.22.0'}, 'tracing-actix-web': {'downloads': 32963, 'github_url': 'https://github.com/LukeMathWalker', 'version': '0.7.9'}, 'sentry': {'downloads': 4049, 'github_url': 'https://github.com/getsentry-bot', 'version': '0.32.0'}}"
RUSTSEC-2020-0078,2020-11-07T12:00:00Z,net2,deprecrated,net2-rs,pkg:cargo/net2,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H'}]",[],0.0.0-0,0.2.36,"{'tokio-proto': {'downloads': 1445386, 'github_url': ''}, 'ssdp': {'downloads': 8166, 'github_url': ''}, 'actix-net': {'downloads': 539924, 'github_url': ''}, 'crust': {'downloads': 3208, 'github_url': 'https://github.com/Viv-Rajkumar', 'version': '0.32.1'}, 'tokio-tcp': {'downloads': 7573107, 'github_url': 'https://github.com/LucioFranco', 'version': '0.1.4'}, 'httpbis': {'downloads': 33063, 'github_url': 'https://github.com/stepancheg', 'version': '0.9.1'}, 'mdns': {'downloads': 143630, 'github_url': 'https://github.com/dylanmckay', 'version': '3.0.0'}, 'jsonrpc-http-server': {'downloads': 1214053, 'github_url': 'https://github.com/Xanewok', 'version': '18.0.0'}, 'tungstenite': {'downloads': 1684126, 'github_url': 'https://github.com/agalakhov', 'version': '0.20.1'}, 'rsmq_async': {'downloads': 10221, 'github_url': 'https://github.com/DavidBM', 'version': '8.0.1'}}"
RUSTSEC-2019-0005,2019-06-15T12:00:00Z,pancurses,RustSec,advisory-db,pkg:cargo/pancurses,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N'}]",[],0.0.0-0,,"{'pancurses-result': {'downloads': 1271, 'github_url': ''}, 'swears': {'downloads': 313, 'github_url': 'https://github.com/adam-mcdaniel', 'version': '0.1.16'}, 'matrixise': {'downloads': 556, 'github_url': 'https://github.com/Shizcow', 'version': '2.0.1'}, 'easycurses': {'downloads': 1572, 'github_url': 'https://github.com/Lokathor', 'version': '0.13.0'}, 'cursive': {'downloads': 89234, 'github_url': 'https://github.com/gyscos', 'version': '0.20.0'}, 'bracket-terminal': {'downloads': 16858, 'github_url': 'https://github.com/thebracket', 'version': '0.8.7'}, 'ncgopher': {'downloads': 261, 'github_url': 'https://github.com/jansc', 'version': '0.5.0'}, 'z80emu': {'downloads': 123, 'github_url': 'https://github.com/royaltm', 'version': '0.9.0'}, 'ncspot': {'downloads': 1780, 'github_url': 'https://github.com/hrkfdn', 'version': '0.13.4'}, 'menu': {'downloads': 374, 'github_url': 'https://github.com/ryan-summers', 'version': '0.4.0'}}"
RUSTSEC-2020-0097,2020-12-10T12:00:00Z,xcb,rust-x-bindings,rust-xcb,pkg:cargo/xcb,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H'}]","['memory-corruption', 'thread-safety']",0.0.0-0,1.0.0,"{'way-cooler': {'downloads': 4871, 'github_url': ''}, 'xidlehook': {'downloads': 1106, 'github_url': 'https://github.com/jD91mZM2', 'version': '0.10.0'}, 'xcb-imdkit': {'downloads': 22426, 'github_url': 'https://github.com/H-M-H', 'version': '0.1.2'}, 'xcolor': {'downloads': 6371, 'github_url': 'https://github.com/Soft', 'version': '0.5.1'}, 'xcb-util': {'downloads': 4022, 'github_url': 'https://github.com/meh', 'version': '0.4.0'}, 'unixbar': {'downloads': 138, 'github_url': 'https://github.com/valpackett', 'version': '0.1.4'}, 'xkb': {'downloads': 2523, 'github_url': 'https://github.com/meh', 'version': '0.3.0'}, 'display-info': {'downloads': 9445, 'github_url': 'https://github.com/nashaofu', 'version': '0.4.3'}, 'keyboard-keynames': {'downloads': 51, 'github_url': 'https://github.com/Frinksy', 'version': '0.2.0'}, 'screenshots': {'downloads': 611, 'github_url': 'https://github.com/nashaofu', 'version': '0.8.5'}}"
RUSTSEC-2022-0089,2022-11-19T12:00:00Z,aliyun-oss-client,advisories,GHSA-3w3h-7xgx-grw,pkg:cargo/aliyun-oss-client,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:P/AC:L/PR:H/UI:R/S:C/C:H/I:L/A:N'}]",['crypto-failure'],0.0.0-0,0.8.1,{}
RUSTSEC-2022-0066,2022-10-30T12:00:00Z,conduit-hyper,conduit-rust,conduit-hyper,pkg:cargo/conduit-hyper,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]",['denial-of-service'],0.2.0-alpha.3,0.4.2,"{'sentry-conduit': {'downloads': 185, 'github_url': 'https://github.com/Turbo87', 'version': '0.29.0'}}"
RUSTSEC-2021-0033,2021-02-22T12:00:00Z,stack_dst,thepowersgang,stack_dst-rs,pkg:cargo/stack_dst,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H'}]",['memory-corruption'],0.0.0-0,0.6.1,"{'stylish-core': {'downloads': 5037, 'github_url': 'https://github.com/Nemo157', 'version': '0.1.1'}}"
