id,published,name,gh_owner,gh_repo,purl,severity,categories_vuln,categories_package,github_link,introduced_version,patched_version,dependents
RUSTSEC-2021-0121,2021-10-08T12:00:00Z,crypto2,shadowsocks,crypto2,pkg:cargo/crypto2,[],[],[],https://github.com/shadowsocks/crypto2,0.0.0-0,,"{'aes-keywrap-rs': {'downloads': 1000, 'github_url': 'https://github.com/hwiorn/aes-keywrap-rs', 'categories': ['algorithms', 'cryptography'], 'version': '0.2.0'}}"
RUSTSEC-2022-0031,2022-05-21T12:00:00Z,rulex,rulex-rs,rulex,pkg:cargo/rulex,[],['denial-of-service'],"['text-processing', 'parser-implementations']",https://github.com/rulex-rs/pomsky,0.0.0-0,0.4.3,"{'rulex-bin': {'downloads': 127, 'github_url': 'https://github.com/rulex-rs/pomsky', 'categories': ['command-line-utilities', 'text-processing'], 'version': '0.4.5'}, 'rulex-macro': {'downloads': 99, 'github_url': 'https://github.com/rulex-rs/pomsky', 'categories': ['text-processing'], 'version': '0.4.4'}}"
RUSTSEC-2021-0064,2021-05-06T12:00:00Z,cpuid-bool,RustCrypto,utils,pkg:cargo/cpuid-bool,[],[],['cryptography'],https://github.com/RustCrypto/utils/tree/master/cpufeatures,0.0.0-0,,"{'cess-sha2raw': {'downloads': 563, 'github_url': 'https://github.com/CESSProject/cess-proving-system', 'categories': ['no-std', 'cryptography'], 'version': '0.1.0'}}"
RUSTSEC-2018-0019,2018-06-08T12:00:00Z,actix-web,actix,actix-web,pkg:cargo/actix-web,[],['memory-corruption'],"['network-programming', 'asynchronous', 'web-programming::websocket', 'web-programming::http-server']",https://github.com/actix/actix-web.git,0.0.0-0,0.7.15,"{'actix-files': {'downloads': 1060976, 'github_url': 'https://github.com/actix/actix-web', 'categories': ['web-programming::http-server', 'asynchronous'], 'version': '0.6.2'}, 'actix-cors': {'downloads': 1608820, 'github_url': 'https://github.com/actix/actix-extras.git', 'categories': [], 'version': '0.6.4'}, 'actix-web-actors': {'downloads': 609816, 'github_url': 'https://github.com/actix/actix-web', 'categories': [], 'version': '4.2.0'}, 'serde_qs': {'downloads': 605524, 'github_url': 'https://github.com/samscott89/serde_qs', 'categories': ['web-programming', 'encoding'], 'version': '0.12.0'}, 'rust-embed': {'downloads': 292015, 'github_url': 'https://github.com/pyros2097/rust-embed', 'categories': ['web-programming', 'filesystem'], 'version': '8.0.0'}, 'actix-web-httpauth': {'downloads': 121279, 'github_url': 'https://github.com/actix/actix-extras.git', 'categories': ['web-programming::http-server'], 'version': '0.8.1'}, 'webbrowser': {'downloads': 126741, 'github_url': 'https://github.com/amodm/webbrowser-rs', 'categories': [], 'version': '0.8.12'}, 'prometheus-client': {'downloads': 47584, 'github_url': 'https://github.com/prometheus/client_rust', 'categories': [], 'version': '0.22.0'}, 'tracing-actix-web': {'downloads': 33566, 'github_url': 'https://github.com/LukeMathWalker/tracing-actix-web', 'categories': ['web-programming', 'asynchronous'], 'version': '0.7.9'}, 'sentry': {'downloads': 4234, 'github_url': 'https://github.com/getsentry/sentry-rust', 'categories': [], 'version': '0.32.0'}}"
RUSTSEC-2020-0078,2020-11-07T12:00:00Z,net2,deprecrated,net2-rs,pkg:cargo/net2,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H'}]",[],[],https://github.com/deprecrated/net2-rs,0.0.0-0,0.2.36,"{'tokio-proto': {'downloads': 1445428, 'github_url': 'https://github.com/tokio-rs/tokio-proto', 'categories': [], 'version': '0.1.1'}, 'ssdp': {'downloads': 8167, 'github_url': 'https://github.com/GGist/ssdp-rs', 'categories': [], 'version': '0.7.0'}, 'actix-net': {'downloads': 539947, 'github_url': 'https://github.com/actix/actix-net.git', 'categories': ['network-programming', 'asynchronous'], 'version': '0.2.6'}, 'crust': {'downloads': 3208, 'github_url': 'https://github.com/maidsafe/crust', 'categories': [], 'version': '0.32.1'}, 'tokio-tcp': {'downloads': 7574266, 'github_url': 'https://github.com/tokio-rs/tokio', 'categories': ['asynchronous'], 'version': '0.1.4'}, 'httpbis': {'downloads': 33066, 'github_url': 'https://github.com/stepancheg/rust-http2', 'categories': [], 'version': '0.9.1'}, 'mdns': {'downloads': 143643, 'github_url': 'https://github.com/dylanmckay/mdns', 'categories': ['network-programming'], 'version': '3.0.0'}, 'jsonrpc-http-server': {'downloads': 1214897, 'github_url': 'https://github.com/paritytech/jsonrpc', 'categories': [], 'version': '18.0.0'}, 'tungstenite': {'downloads': 1693510, 'github_url': 'https://github.com/snapview/tungstenite-rs', 'categories': ['web-programming::websocket', 'network-programming'], 'version': '0.20.1'}, 'rsmq_async': {'downloads': 10487, 'github_url': 'https://github.com/Couragium/rsmq-async-rs', 'categories': [], 'version': '8.0.1'}}"
RUSTSEC-2019-0005,2019-06-15T12:00:00Z,pancurses,RustSec,advisory-db,pkg:cargo/pancurses,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N'}]",[],[],https://github.com/ihalila/pancurses,0.0.0-0,,"{'pancurses-result': {'downloads': 1272, 'github_url': 'https://github.com/czipperz/pancurses-result', 'categories': [], 'version': '0.5.1'}, 'swears': {'downloads': 313, 'github_url': 'https://github.com/adam-mcdaniel/swears', 'categories': [], 'version': '0.1.16'}, 'matrixise': {'downloads': 557, 'github_url': 'https://github.com/Shizcow/matrixise', 'categories': ['command-line-utilities', 'command-line-interface'], 'version': '2.0.1'}, 'easycurses': {'downloads': 1573, 'github_url': 'https://github.com/Lokathor/easycurses-rs', 'categories': [], 'version': '0.13.0'}, 'cursive': {'downloads': 89413, 'github_url': 'https://github.com/gyscos/cursive', 'categories': ['command-line-interface', 'gui'], 'version': '0.20.0'}, 'bracket-terminal': {'downloads': 16877, 'github_url': 'https://github.com/thebracket/bracket-lib', 'categories': ['game-engines'], 'version': '0.8.7'}, 'z80emu': {'downloads': 123, 'github_url': 'https://github.com/royaltm/rust-z80emu', 'categories': ['no-std', 'emulators'], 'version': '0.9.0'}, 'ncspot': {'downloads': 1798, 'github_url': 'https://github.com/hrkfdn/ncspot', 'categories': [], 'version': '0.13.4'}, 'menu': {'downloads': 380, 'github_url': 'https://github.com/rust-embedded-community/menu', 'categories': [], 'version': '0.4.0'}, 'ncgopher': {'downloads': 30, 'github_url': 'https://github.com/jansc/ncgopher', 'categories': ['command-line-utilities', 'network-programming'], 'version': '0.6.0'}}"
RUSTSEC-2020-0097,2020-12-10T12:00:00Z,xcb,rust-x-bindings,rust-xcb,pkg:cargo/xcb,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H'}]","['memory-corruption', 'thread-safety']",[],https://github.com/rust-x-bindings/rust-xcb,0.0.0-0,1.0.0,"{'way-cooler': {'downloads': 4871, 'github_url': 'https://github.com/Immington-Industries/way-cooler/', 'categories': [], 'version': '0.8.1'}, 'xidlehook': {'downloads': 1108, 'github_url': 'https://gitlab.com/jD91mZM2/xidlehook', 'categories': ['date-and-time', 'command-line-utilities'], 'version': '0.10.0'}, 'xcb-imdkit': {'downloads': 22426, 'github_url': 'https://github.com/H-M-H/xcb-imdkit-rs', 'categories': ['text-processing', 'api-bindings', 'gui'], 'version': '0.1.2'}, 'xcolor': {'downloads': 6372, 'github_url': 'https://github.com/Soft/xcolor', 'categories': ['command-line-utilities'], 'version': '0.5.1'}, 'xcb-util': {'downloads': 4023, 'github_url': 'https://github.com/meh/rust-xcb-util', 'categories': [], 'version': '0.4.0'}, 'unixbar': {'downloads': 139, 'github_url': 'https://codeberg.org/valpackett/unixbar', 'categories': [], 'version': '0.1.4'}, 'xkb': {'downloads': 2524, 'github_url': 'https://github.com/meh/rust-xkb', 'categories': [], 'version': '0.3.0'}, 'display-info': {'downloads': 9459, 'github_url': 'https://github.com/nashaofu/display-info.git', 'categories': [], 'version': '0.4.3'}, 'keyboard-keynames': {'downloads': 52, 'github_url': 'https://gitlab.com/Frinksy/keyboard-keynames/', 'categories': ['os', 'game-development'], 'version': '0.2.0'}, 'screenshots': {'downloads': 620, 'github_url': 'https://github.com/nashaofu/screenshots-rs.git', 'categories': [], 'version': '0.8.5'}}"
RUSTSEC-2022-0089,2022-11-19T12:00:00Z,aliyun-oss-client,advisories,GHSA-3w3h-7xgx-grw,pkg:cargo/aliyun-oss-client,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:P/AC:L/PR:H/UI:R/S:C/C:H/I:L/A:N'}]",['crypto-failure'],['api-bindings'],https://github.com/tu6ge/oss-rs,0.0.0-0,0.8.1,{}
RUSTSEC-2022-0066,2022-10-30T12:00:00Z,conduit-hyper,conduit-rust,conduit-hyper,pkg:cargo/conduit-hyper,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]",['denial-of-service'],[],https://github.com/jtgeibel/conduit-hyper,0.2.0-alpha.3,0.4.2,"{'sentry-conduit': {'downloads': 185, 'github_url': 'https://github.com/Turbo87/sentry-conduit.git', 'categories': [], 'version': '0.29.0'}}"
RUSTSEC-2021-0033,2021-02-22T12:00:00Z,stack_dst,thepowersgang,stack_dst-rs,pkg:cargo/stack_dst,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H'}]",['memory-corruption'],[],https://github.com/thepowersgang/stack_dst-rs,0.0.0-0,0.6.1,"{'stylish-core': {'downloads': 5050, 'github_url': 'https://github.com/Nullus157/stylish-rs', 'categories': [], 'version': '0.1.1'}}"
