vuln_id,vuln_package_name,dependent_name,dependent_info
RUSTSEC-2021-0121,crypto2,aes-keywrap-rs,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2022-0031,rulex,rulex-bin,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': False, 'found_patch': False}"
RUSTSEC-2022-0031,rulex,rulex-macro,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': False, 'found_patch': False}"
RUSTSEC-2021-0064,cpuid-bool,cess-sha2raw,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2018-0019,actix-web,actix-files,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': True}"
RUSTSEC-2018-0019,actix-web,actix-cors,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': True}"
RUSTSEC-2018-0019,actix-web,actix-web-actors,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': True}"
RUSTSEC-2018-0019,actix-web,serde_qs,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': False, 'found_patch': False}"
RUSTSEC-2018-0019,actix-web,rust-embed,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': False, 'found_patch': False}"
RUSTSEC-2018-0019,actix-web,actix-web-httpauth,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': False, 'found_patch': False}"
RUSTSEC-2018-0019,actix-web,webbrowser,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': False, 'found_patch': False}"
RUSTSEC-2018-0019,actix-web,prometheus-client,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': True}"
RUSTSEC-2018-0019,actix-web,tracing-actix-web,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': True}"
RUSTSEC-2018-0019,actix-web,sentry,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': False, 'found_patch': False}"
RUSTSEC-2020-0078,net2,tokio-proto,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0078,net2,ssdp,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0078,net2,actix-net,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0078,net2,crust,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0078,net2,tokio-tcp,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0078,net2,httpbis,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0078,net2,mdns,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0078,net2,jsonrpc-http-server,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0078,net2,tungstenite,"{'dependency_patched': True, 'dependent_on_vuln_version': False, 'created_after_patch': False, 'found_patch': False}"
RUSTSEC-2020-0078,net2,rsmq_async,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,pancurses-result,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,swears,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,matrixise,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,easycurses,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,cursive,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,bracket-terminal,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,z80emu,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,ncspot,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,menu,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2019-0005,pancurses,ncgopher,"{'dependency_patched': False, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0097,xcb,way-cooler,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0097,xcb,xidlehook,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0097,xcb,xcb-imdkit,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0097,xcb,xcolor,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
RUSTSEC-2020-0097,xcb,xcb-util,"{'dependency_patched': True, 'dependent_on_vuln_version': True}"
